Area,Period,Text
Варна,от 05.08.2024 г. до 09.08.2024 г. В периода 08:30 ч. до 17:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Крумово – кв. Пясъчник, клиентите, електрозахранени от МТП 2 Пясъчник
Публикувано на 01.08.2024 11:34"
Варна,от 05.08.2024 г. до 09.08.2024 г. В периода 09:00 ч. до 16:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Белоградец - клиентите, електрозахранени от ТП 4. Ще се редува поетапно изключване на отделни клонове от мрежа НН, така че да не се лишават от електрозахранване всички клиенти
Публикувано на 02.08.2024 13:35"
Варна,от 08.08.2024 г. до 09.08.2024 г. В периода 09:00 ч. до 17:00 ч.,"Поради извършване на обслужване на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Петров дол, гр. Провадия – бензиностанция АТОЛ, ПГСС Земя, електрозахранени от ТП 40 .
Временни смущения в електрозахранването са възможни от 09:00 ч. до 11:00 ч. и от 15:00 ч. до17:00 ч. в районите на гр. Девня, с. Габърница и с. Староселец
Публикувано на 02.08.2024 14:47"
Варна,На 09.08.2024 г. В периода 09:00 ч. до 16:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Калиманци, с. Изгрев – клиентите, електрозахранени от ТП 1 .
Временни смущения в електрозахранването са възможни от 09:00 ч. до 16:00 ч. в районите на с. Кипра, с. Чернево, с. Просечен, с. Левски, с. Изгрев
Публикувано на 02.08.2024 13:41"
Варна,На 09.08.2024 г. В периода 09:00 ч. до 17:00 ч.,"Поради извършване на обслужване на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: гр. Девня, кв. Повеляново - бул. Съединение, ул. Славянска, ул. Ал. Стамболийски, ул. Македония, ул. Мусала, ул. Стара планина, ул. Стария бряст, ул. Странджа, ул. Търново, електрозахранени от ТП 8 Повеляново
Публикувано на 02.08.2024 14:47"
Варна,На 09.08.2024 г. В периода 08:30 ч. до 17:00 ч.,"Поради извършване на обезопасяване на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: гр. Варна - м-ст Малка Чайка, захранени от ТП 610 .
Временни смущения в електрозахранването са възможни от 08:30 ч. до 17:00 ч. в районите на в м-ст Орехчето, м-ст Малка Чайка
Публикувано на 05.08.2024 17:08"
Варна,На 09.08.2024 г. В периода 08:30 ч. до 17:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Зорница захр. от МТП 2 Зорница, обл.Варна
Публикувано на 06.08.2024 10:00"
Варна,На 09.08.2024 г. В периода 08:30 ч. до 17:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: Гр.Варна, м-ст Пчелина, м-ст Сълзица ул. Прасковка, ул.Ръж, ул.Лале, ул.Гергина и част от ул.Прилеп; Стопански абонати: ОДЕСОССТРОЙ ООД , МОНА СТИЛ ЕООД , БОНИТА ЕФЕКТ ЕООД СВЕЖЕН ЕООД , ПАЛОМА КОМ ЕООД , ПЕРФЕКТ ООД , СПРИНТ-2000 ЕООД
Публикувано на 06.08.2024 12:24"
Варна,от 09.08.2024 г. до 12.08.2024 г. В периода 09:00 ч. до 17:00 ч.,"Поради извършване на обслужване на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: гр. Провадия, ул. Сливница, ул. Янко Сакъзов, ул. Д-р Марко Сапарев, ул. Димитър Чивгънов, ул.Опълченска, ул. Дунав.
Публикувано на 06.08.2024 16:48"
Велико Търново,от 08.08.2024 г. до 09.08.2024 г. В периода 08:00 ч. до 16:00 ч.,"Поради извършване на обслужване на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: гр. Велико Търново: м-ст Дълга Лъка, фирмите „АК ПЛАСТРОНИК АД“
Публикувано на 30.07.2024 14:08"
Велико Търново,от 08.08.2024 г. до 09.08.2024 г. В периода 09:00 ч. до 16:30 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: община Павликени: с. Д. Липница – ТП 7
Публикувано на 05.08.2024 11:34"
Велико Търново,На 09.08.2024 г. В периода 15:00 ч. до 16:00 ч.,"Поради извършване на обслужване на съоръженията за доставка на електроенергия , са възможни смущения на електрозахранването в районите на: гр. Велико Търново: м-ст Дълга Лъка, фирмите „НЕМЦОВ ООД“, „Л-С-КОМЕРС ООД“, „ЕКО ФЕНИКС ЕООД“
Публикувано на 30.07.2024 15:07"
Габрово,от 05.08.2024 г. до 09.08.2024 г. В периода 08:30 ч. до 16:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: Община Севлиево – с. Делък
Публикувано на 31.07.2024 16:25"
Габрово,На 09.08.2024 г. В периода 09:00 ч. до 14:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: Община Севлиево – с. Кръвеник (абонатите захранени от ТП 1 и ТП 3)
Публикувано на 31.07.2024 16:25"
Габрово,На 09.08.2024 г. В периода 08:30 ч. до 13:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: Гр. Севлиево – ул. „Бенковска“ (1,2), ул. „Велчо Ночев“ (8), ул. „Иван Преснаков“, ул. „Кирил и Методий“ (10), ул. „Марица“, ул. „Стара Планина“ (22-45), ул. „Стойчо Часовникаров“ (0,1,2), ул. „Христо Спиридонов“ (20-26)
Публикувано на 31.07.2024 16:25"
Габрово,На 09.08.2024 г. В периода 13:00 ч. до 16:00 ч.,"Поради извършване на обслужване на съоръженията за доставка на електроенергия по искане на ЕСО, ще бъде прекъснато електрозахранването в районите на: гр.Габрово: ул.8-ми март №1, 2, 4, 6, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 28, 30, 33, 35, 36, 37, 38, 39, 40, 41, 43, 44, 46, 47, 48, 53, 55, 56, 57, 64, 66 и 68, ул.Бистра №1, ул.Букет №4, 6 и 8, ул.Зелен бряг №12, 14, 17 и 21, ул.Златна роза №4, ул.Надежда, ул.Смели хора, ЕТ ЕКСПРЕС - ЙОРД.ВЕЛЕВА, ЕТ КАЛИФОРНИЯ - М.МИЛАНОВА, НОВ СВЯТ - ТАО ЕООД, СД ДЕР-ГА - МАКС, РЕЗВАЯ СТРОЙ ЕООД, ул.Криволак №2, 3, 15, 20, 27 и 29, ул.Мир №6, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 27, 28, 29, 31, 33, 35, 37, 39, 41, 44, 45, 46, 47 и 49, ул.Моневци №11, 22, 30, 31 и 38, ул.Плодородие №1, 2 и 12, ул.Съревнование 1, 3, 5 и 7, ЕТ СТОЙНО ГЕОРГИЕВ, ЕТ ОЧКОВ ВЕСЕЛИН ОЧКОВ, ул.Градище №4, 6 и 8, ул. Гурко №21, ул.Любен Каравелов №46, ул.Петър Берон №10, 12, 18 и 19, ул.Хан Крум №15, 21, 23, 25, 27, 35, 42, 44, 46, 48, 50, 52, 54, 56 и 58, ул.Любен Каравелов №24 и 26, ИНТЕРНЕШЪНЪЛ АСЕТ БАНК АД, ВИПИМЕКС ООД, ГАМА ИНЖЕНЕРИНГ ГАБРОВО ООД, ГАРМЪНТ ФАКТОРИ ЕООД, ДИ ЕЙЧ ЕЛ ЕКСПРЕС Б-Я ЕООД, ЕКО ПРОЕКТ ООД, ЕТ ВЕСПА - В. ВАСИЛЕВ, ЗГПУ ГРУП ООД, КРЕДО-ЗМ ООД, СТЕКСИ ООД, ФРЕЗЕНИУС МЕДИКЪЛ КЕЪР БЪЛГАРИЯ ЕООД, ХЕРОС ЕООД, ул.Александър Керков №36, 38, 40, 45, 47, 49, 52, 53, 54, 55, 56, 57, 58 и 59, ул.Иван Димов №4 и 6, ул.Луна №1, 2, 3, 4, 5, 6, 7 и 8, ул.Роден край №20, 22, 24, 26, 28, 30, 39, 41, 43, 45, 47 и 49, ЕТ ХИЯДИ-ЦАНКОВ, СД ИЛВА-РУСЕВИ И СИЕ, БУМЕРАНГ ФМ ЕООД, ул.Андреево №1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17 и 18, ул.Градище №9, 11, 13, 15, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 38, 39, 40, 41, 42, 43 и 51, ул.Иван Димов №30, 32, 34, 36 и 38, ул.Острец №4, 7, 8, 9, 14, 16, 20 и 22, ЕТ ГАЛИНА МЕТОДИЕВА, ЕТ СВЕТЛА КОЛЕВА, СД ПИМСА ЖАНЕТА МАРИНОВА
Публикувано на 01.08.2024 09:39"
Габрово,На 09.08.2024 г. В периода 08:30 ч. до 16:00 ч.,"Поради извършване на строителни ремонти на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: град Севлиево: ул.Марин Попов (64,66,98,0) – Георги Чолаков-склад, ЕТ Балди, Бриз-95 ООД, Виктор мебел ООД, Крама ООД, Блайв-Благой Байкалов, Асат ООД.
Публикувано на 01.08.2024 15:51"
Габрово,На 09.08.2024 г. В периода 08:30 ч. до 16:30 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , са възможни смущения на електрозахранването в районите на: Община Габрово – с.Съботковци; с.Гаревци(част от абонатите захранени от КТП Лесичарка); с.Раховци(част от абонатите захранени от КТП Лесичарка); ПТГ Д-Р НИКОЛА ВАСИЛИАДИ-СПОРТНА БАЗА; гр.Габрово – ул. „8-ми Март“ №24В; ул. „Панорамна“ №6,14Б; ПЕТЪР КОЛЕВ 2012 ООД; Община Трявна – с.Стръмци; гр.Севлиево – м-ст Крушевски баир(част от абонатите захранени от БКТП Вилна зона Север 3 С-во); ул. „Бр.Бъкстон“ №3Б; ул. „Бригадирска“ №17,20; ул. „Дунав“ №9,11,15,19; ул. „Симеон Велики“ №20; ул. „Стамболийски“ №16; ул. „Хаджи Ангел“ №1
Публикувано на 02.08.2024 12:04"
Добрич,от 05.08.2024 г. до 09.08.2024 г. В периода 09:00 ч. до 16:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: част от село Батово - част от: ул. Главна, ул. Трета, ул. Четвърта и част от техните пресечни
Публикувано на 31.07.2024 12:52"
Добрич,от 05.08.2024 г. до 09.08.2024 г. В периода 09:00 ч. до 17:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Козлодуйци, с. Лясково, с. Камен, с. Житница, с. Тянево, с. Пчелник, с. Черна, гр. Добрич; ЗП ЗДРАВКО ЛЮБЕНОВ ИВАНОВ, ДНД РЕНТ ЕООД, ЕКОСТРОЙ АД, ВОДОСНАБДЯВАНЕ И КАНАЛИЗАЦИЯ ООД
Публикувано на 31.07.2024 15:26"
Добрич,от 05.08.2024 г. до 09.08.2024 г. В периода 09:00 ч. до 17:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Врачанци, с. Росеново, с. Божурово, с. Овчарово, с. Ломница, с. Сливенци, гр. Добрич; БУЛГАРТРАНСГАЗ ЕАД
Публикувано на 31.07.2024 15:25"
Добрич,от 05.08.2024 г. до 09.08.2024 г. В периода 09:00 ч. до 17:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Паскалево, гр. Добрич; САВИМЕКС ООД, ПЕТРОЛ АД, ДОБРИЧКА ГАЗОВА КОМПАНИЯ ООД, ГРАДСКИ ТРАНСПОРТ ДОБРИЧ ЕООД, АГРОХИМИКАЛИ ООД, КОРН БЪЛГАРИЯ АД, ТОПЛИВО АД; БИО ООД, ДАНЧИК ЕООД, ЗК ВЪЗРАЖДАНЕ
Публикувано на 31.07.2024 16:24"
Добрич,от 05.08.2024 г. до 09.08.2024 г. В периода 09:00 ч. до 17:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Северци, с. Лозенец, с. Черна, с. Крагулево
Публикувано на 31.07.2024 16:24"
Добрич,от 05.08.2024 г. до 09.08.2024 г. В периода 09:00 ч. до 17:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Земенци, с. Загорци, с. Добрево, с. Свобода
Публикувано на 31.07.2024 16:24"
Добрич,от 05.08.2024 г. до 09.08.2024 г. В периода 08:30 ч. до 16:30 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , са възможни смущения на електрозахранването в районите на: Село Българево – ул. „Първа“ ; ул. „Втора“ ; ул. „Трета“ ; ул. „Четвърта“ ; ул. „Шеста“ ; ул. „Седма“ ; ул. „Дванадесета“ ; ул. „Тринадесета“ ; ул. „Шестнадесета“ ; ул. „Двадесета“ ; ул. „Двадесет и четвърта“ ; ул. „Тридесет и пета“ ; ул. „Тридесет и шеста“; Град Каварна – ул. „Искър“ – 5; ул. „Васил Левски“ – 28, 30, 31, 61; ул. „Христо Смирненски“ – 50; ул. „Янтра“ – 6, 8; Село Камен бряг – ул. „Пета“ ; ул. „Девета“ ; ул. „Единадесета“; Село Могилище – ул. „Първа“ ; ул. „Втора“ ; ул. „Трета“ ; ул. „Пета“ ; ул. „Осма“; Село Свети Никола – ул. „Първа“ ; ул. „Втора“. Смущенията на електрозахранването ще бъдат в рамките на около 30 минути.
Публикувано на 01.08.2024 09:47"
Добрич,от 05.08.2024 г. до 09.08.2024 г. В периода 08:30 ч. до 16:30 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , са възможни смущения на електрозахранването в районите на: град Ген. Тошево – ул. „Антон Страшимиров“ – 4, 7, 8, 9, 14; ул. „Йордан Йовков“ – 8; ул. „Васил Левски“ – 12, 13, 14, 26, 34, 118; ул. „Опълченска“ – 6, 10; ул. „Дора Габе“ – 2; ул. „Иван Вазов“ – 11, 15, 18, 24; ул. „П. Петков“ – 26, 38; ул. „Патриарх Евтимий“ – 20, 29, 35, 40, 41, 44; ул. „3 – ти март“ – 21, 23, 25, 29; ул. „Цвятко Радойнов“ - 8. Смущенията на електрозахранването ще бъдат в рамките на около 30 минути.
Публикувано на 01.08.2024 09:47"
